Time_index,TX_NG,TX_coal,TX_oil,Nuclear
519,2.88,2.79,11.88,0.71
520,2.88,2.79,11.88,0.71
521,2.88,2.79,11.88,0.71
522,2.88,2.79,11.88,0.71
523,2.88,2.79,11.88,0.71
524,2.88,2.79,11.88,0.71
525,2.88,2.79,11.88,0.71
526,2.88,2.79,11.88,0.71
527,2.88,2.79,11.88,0.71
528,2.88,2.79,11.88,0.71
529,2.88,2.79,11.88,0.71
530,2.88,2.79,11.88,0.71
531,2.88,2.79,11.88,0.71
532,2.88,2.79,11.88,0.71
533,2.88,2.79,11.88,0.71
534,2.88,2.79,11.88,0.71
535,2.88,2.79,11.88,0.71
536,2.88,2.79,11.88,0.71
537,2.88,2.79,11.88,0.71
538,2.88,2.79,11.88,0.71
539,2.88,2.79,11.88,0.71
540,2.88,2.79,11.88,0.71
541,2.88,2.79,11.88,0.71
542,2.88,2.79,11.88,0.71
543,2.88,2.79,11.88,0.71
544,2.88,2.79,11.88,0.71
545,2.88,2.79,11.88,0.71
546,2.88,2.79,11.88,0.71
547,2.88,2.79,11.88,0.71
548,2.88,2.79,11.88,0.71
549,2.88,2.79,11.88,0.71
550,2.88,2.79,11.88,0.71
551,2.88,2.79,11.88,0.71
552,2.88,2.79,11.88,0.71
553,2.88,2.79,11.88,0.71
554,2.88,2.79,11.88,0.71
555,2.88,2.79,11.88,0.71
556,2.88,2.79,11.88,0.71
557,2.88,2.79,11.88,0.71
558,2.88,2.79,11.88,0.71
559,2.88,2.79,11.88,0.71
560,2.88,2.79,11.88,0.71
561,2.88,2.79,11.88,0.71
562,2.88,2.79,11.88,0.71
563,2.88,2.79,11.88,0.71
564,2.88,2.79,11.88,0.71
565,2.88,2.79,11.88,0.71
566,2.88,2.79,11.88,0.71
567,2.88,2.79,11.88,0.71
568,2.88,2.79,11.88,0.71
569,2.88,2.79,11.88,0.71
570,2.88,2.79,11.88,0.71
571,2.88,2.79,11.88,0.71
572,2.88,2.79,11.88,0.71
573,2.88,2.79,11.88,0.71
574,2.88,2.79,11.88,0.71
575,2.88,2.79,11.88,0.71
576,2.88,2.79,11.88,0.71
577,2.88,2.79,11.88,0.71
578,2.88,2.79,11.88,0.71
579,2.88,2.79,11.88,0.71
580,2.88,2.79,11.88,0.71
581,2.88,2.79,11.88,0.71
582,2.88,2.79,11.88,0.71
583,2.88,2.79,11.88,0.71
584,2.88,2.79,11.88,0.71
585,2.88,2.79,11.88,0.71
586,2.88,2.79,11.88,0.71
587,2.88,2.79,11.88,0.71
588,2.88,2.79,11.88,0.71
589,2.88,2.79,11.88,0.71
590,2.88,2.79,11.88,0.71
591,2.88,2.79,11.88,0.71
592,2.88,2.79,11.88,0.71
593,2.88,2.79,11.88,0.71
594,2.88,2.79,11.88,0.71
595,2.88,2.79,11.88,0.71
596,2.88,2.79,11.88,0.71
597,2.88,2.79,11.88,0.71
598,2.88,2.79,11.88,0.71
599,2.88,2.79,11.88,0.71
600,2.88,2.79,11.88,0.71
601,2.88,2.79,11.88,0.71
602,2.88,2.79,11.88,0.71
603,2.88,2.79,11.88,0.71
604,2.88,2.79,11.88,0.71
605,2.88,2.79,11.88,0.71
606,2.88,2.79,11.88,0.71
607,2.88,2.79,11.88,0.71
608,2.88,2.79,11.88,0.71
609,2.88,2.79,11.88,0.71
610,2.88,2.79,11.88,0.71
611,2.88,2.79,11.88,0.71
612,2.88,2.79,11.88,0.71
613,2.88,2.79,11.88,0.71
614,2.88,2.79,11.88,0.71
615,2.88,2.79,11.88,0.71
616,2.88,2.79,11.88,0.71
617,2.88,2.79,11.88,0.71
618,2.88,2.79,11.88,0.71
619,2.88,2.79,11.88,0.71
620,2.88,2.79,11.88,0.71
621,2.88,2.79,11.88,0.71
622,2.88,2.79,11.88,0.71
623,2.88,2.79,11.88,0.71
624,2.88,2.79,11.88,0.71
625,2.88,2.79,11.88,0.71
626,2.88,2.79,11.88,0.71
627,2.88,2.79,11.88,0.71
628,2.88,2.79,11.88,0.71
629,2.88,2.79,11.88,0.71
630,2.88,2.79,11.88,0.71
631,2.88,2.79,11.88,0.71
632,2.88,2.79,11.88,0.71
633,2.88,2.79,11.88,0.71
634,2.88,2.79,11.88,0.71
635,2.88,2.79,11.88,0.71
636,2.88,2.79,11.88,0.71
637,2.88,2.79,11.88,0.71
638,2.88,2.79,11.88,0.71
639,2.88,2.79,11.88,0.71
640,2.88,2.79,11.88,0.71
641,2.88,2.79,11.88,0.71
642,2.88,2.79,11.88,0.71
643,2.88,2.79,11.88,0.71
644,2.88,2.79,11.88,0.71
645,2.88,2.79,11.88,0.71
646,2.88,2.79,11.88,0.71
647,2.88,2.79,11.88,0.71
648,2.88,2.79,11.88,0.71
649,2.88,2.79,11.88,0.71
650,2.88,2.79,11.88,0.71
651,2.88,2.79,11.88,0.71
652,2.88,2.79,11.88,0.71
653,2.88,2.79,11.88,0.71
654,2.88,2.79,11.88,0.71
655,2.88,2.79,11.88,0.71
656,2.88,2.79,11.88,0.71
657,2.88,2.79,11.88,0.71
658,2.88,2.79,11.88,0.71
659,2.88,2.79,11.88,0.71
660,2.88,2.79,11.88,0.71
661,2.88,2.79,11.88,0.71
662,2.88,2.79,11.88,0.71
663,2.88,2.79,11.88,0.71
664,2.88,2.79,11.88,0.71
665,2.88,2.79,11.88,0.71
666,2.88,2.79,11.88,0.71
667,2.88,2.79,11.88,0.71
668,2.88,2.79,11.88,0.71
669,2.88,2.79,11.88,0.71
670,2.88,2.79,11.88,0.71
671,2.88,2.79,11.88,0.71
672,2.88,2.79,11.88,0.71
673,2.88,2.79,11.88,0.71
674,2.88,2.79,11.88,0.71
675,2.88,2.79,11.88,0.71
676,2.88,2.79,11.88,0.71
677,2.88,2.79,11.88,0.71
678,2.88,2.79,11.88,0.71
679,2.88,2.79,11.88,0.71
680,2.88,2.79,11.88,0.71
681,2.88,2.79,11.88,0.71
682,2.88,2.79,11.88,0.71
683,2.88,2.79,11.88,0.71
684,2.88,2.79,11.88,0.71
685,2.88,2.79,11.88,0.71
686,2.88,2.79,11.88,0.71
687,2.88,2.79,11.88,0.71
688,2.88,2.79,11.88,0.71
689,2.88,2.79,11.88,0.71
690,2.88,2.79,11.88,0.71
691,2.88,2.79,11.88,0.71
692,2.88,2.79,11.88,0.71
693,2.88,2.79,11.88,0.71
694,2.88,2.79,11.88,0.71
695,2.88,2.79,11.88,0.71
696,2.88,2.79,11.88,0.71
697,2.88,2.79,11.88,0.71
698,2.88,2.79,11.88,0.71
699,2.88,2.79,11.88,0.71
700,2.88,2.79,11.88,0.71
701,2.88,2.79,11.88,0.71
702,2.88,2.79,11.88,0.71
703,2.88,2.79,11.88,0.71
704,2.88,2.79,11.88,0.71
705,2.88,2.79,11.88,0.71
706,2.88,2.79,11.88,0.71
707,2.88,2.79,11.88,0.71
708,2.88,2.79,11.88,0.71
709,2.88,2.79,11.88,0.71
710,2.88,2.79,11.88,0.71
711,2.88,2.79,11.88,0.71
712,2.88,2.79,11.88,0.71
713,2.88,2.79,11.88,0.71
714,2.88,2.79,11.88,0.71
715,2.88,2.79,11.88,0.71
716,2.88,2.79,11.88,0.71
717,2.88,2.79,11.88,0.71
718,2.88,2.79,11.88,0.71
719,2.88,2.79,11.88,0.71
720,2.88,2.79,11.88,0.71
721,2.88,2.79,11.88,0.71
722,2.88,2.79,11.88,0.71
723,2.88,2.79,11.88,0.71
724,2.88,2.79,11.88,0.71
725,2.88,2.79,11.88,0.71
726,2.88,2.79,11.88,0.71
727,2.88,2.79,11.88,0.71
728,2.88,2.79,11.88,0.71
729,2.88,2.79,11.88,0.71
730,2.88,2.79,11.88,0.71
731,2.88,2.79,11.88,0.71
732,2.88,2.79,11.88,0.71
733,2.88,2.79,11.88,0.71
734,2.88,2.79,11.88,0.71
735,2.88,2.79,11.88,0.71
736,2.88,2.79,11.88,0.71
737,2.88,2.79,11.88,0.71
738,2.88,2.79,11.88,0.71
739,2.88,2.79,11.88,0.71
740,2.88,2.79,11.88,0.71
741,2.88,2.79,11.88,0.71
742,2.88,2.79,11.88,0.71
743,2.88,2.79,11.88,0.71
744,2.88,2.79,11.88,0.71
745,2.88,2.79,11.88,0.71
746,2.88,2.79,11.88,0.71
747,2.88,2.79,11.88,0.71
748,2.88,2.79,11.88,0.71
749,2.88,2.79,11.88,0.71
750,2.88,2.79,11.88,0.71
751,2.88,2.79,11.88,0.71
752,2.88,2.79,11.88,0.71
753,2.88,2.79,11.88,0.71
754,2.88,2.79,11.88,0.71
755,2.88,2.79,11.88,0.71
756,2.88,2.79,11.88,0.71
757,2.88,2.79,11.88,0.71
758,2.88,2.79,11.88,0.71
759,2.88,2.79,11.88,0.71
760,2.88,2.79,11.88,0.71
761,2.88,2.79,11.88,0.71
762,2.88,2.79,11.88,0.71
763,2.88,2.79,11.88,0.71
764,2.88,2.79,11.88,0.71
765,2.88,2.79,11.88,0.71
766,2.88,2.79,11.88,0.71
767,2.88,2.79,11.88,0.71
768,2.88,2.79,11.88,0.71
