Region_description,Network_zones,CapRes_1
TX,z1068,0.1375
TX,z1069,0.1375
TX,z1070,0.1375
TX,z1071,0.1375
TX,z1072,0.1375
TX,z1073,0.1375
TX,z1074,0.1375
TX,z1075,0.1375
TX,z1076,0.1375
TX,z1077,0.1375
TX,z1078,0.1375
TX,z1079,0.1375
TX,z1080,0.1375
TX,z1081,0.1375
TX,z1082,0.1375
TX,z1083,0.1375
TX,z1084,0.1375
TX,z1085,0.1375
TX,z1086,0.1375
TX,z1087,0.1375
TX,z1088,0.1375
TX,z1089,0.1375
TX,z1090,0.1375
TX,z1091,0.1375
TX,z1092,0.1375
TX,z1093,0.1375
TX,z1094,0.1375
TX,z1095,0.1375
TX,z1096,0.1375
TX,z1097,0.1375
TX,z1098,0.1375
TX,z1099,0.1375
TX,z1100,0.1375
TX,z1101,0.1375
TX,z1102,0.1375
TX,z1103,0.1375
TX,z1104,0.1375
TX,z1105,0.1375
TX,z1106,0.1375
TX,z1107,0.1375
TX,z1108,0.1375
TX,z1109,0.1375
TX,z1110,0.1375
TX,z1111,0.1375
TX,z1112,0.1375
TX,z1113,0.1375
TX,z1114,0.1375
TX,z1115,0.1375
TX,z1116,0.1375
TX,z1117,0.1375
TX,z1118,0.1375
TX,z1119,0.1375
TX,z1120,0.1375
TX,z1121,0.1375
TX,z1122,0.1375
TX,z1123,0.1375
TX,z1124,0.1375
TX,z1125,0.1375
TX,z1126,0.1375
TX,z1127,0.1375
TX,z1128,0.1375
TX,z1129,0.1375
TX,z1130,0.1375
TX,z1131,0.1375
TX,z1132,0.1375
TX,z1133,0.1375
TX,z1134,0.1375
TX,z1135,0.1375
TX,z1136,0.1375
TX,z1137,0.1375
TX,z1138,0.1375
TX,z1139,0.1375
TX,z1140,0.1375
TX,z1141,0.1375
TX,z1142,0.1375
TX,z1143,0.1375
TX,z1144,0.1375
TX,z1145,0.1375
TX,z1146,0.1375
TX,z1147,0.1375
TX,z1148,0.1375
TX,z1149,0.1375
TX,z1150,0.1375
TX,z1151,0.1375
TX,z1152,0.1375
TX,z1153,0.1375
TX,z1154,0.1375
TX,z1155,0.1375
TX,z1156,0.1375
TX,z1157,0.1375
TX,z1158,0.1375
TX,z1159,0.1375
TX,z1160,0.1375
TX,z1161,0.1375
TX,z1162,0.1375
TX,z1163,0.1375
TX,z1164,0.1375
TX,z1165,0.1375
TX,z1166,0.1375
TX,z1167,0.1375
TX,z1168,0.1375
TX,z1169,0.1375
TX,z1170,0.1375
TX,z1171,0.1375
TX,z1172,0.1375
TX,z1173,0.1375
TX,z1174,0.1375
TX,z1175,0.1375
TX,z1176,0.1375
TX,z1177,0.1375
TX,z1178,0.1375
TX,z1179,0.1375
TX,z1180,0.1375
TX,z1181,0.1375
TX,z1182,0.1375
TX,z1183,0.1375
TX,z1184,0.1375
TX,z1185,0.1375
TX,z1186,0.1375
TX,z1187,0.1375
TX,z1188,0.1375
TX,z1189,0.1375
TX,z1190,0.1375
TX,z1191,0.1375
TX,z1192,0.1375
TX,z1193,0.1375
TX,z1194,0.1375
TX,z1195,0.1375
TX,z1196,0.1375
TX,z1197,0.1375
TX,z1198,0.1375
TX,z1199,0.1375
TX,z1200,0.1375
TX,z1201,0.1375
TX,z1202,0.1375
TX,z1203,0.1375
TX,z1204,0.1375
TX,z1205,0.1375
TX,z1206,0.1375
TX,z1207,0.1375
TX,z1208,0.1375
TX,z1209,0.1375
TX,z1210,0.1375
TX,z1211,0.1375
TX,z1212,0.1375
TX,z1213,0.1375
TX,z1214,0.1375
TX,z1215,0.1375
TX,z1216,0.1375
TX,z1217,0.1375
TX,z1218,0.1375
TX,z1219,0.1375
TX,z1220,0.1375
TX,z1221,0.1375
TX,z1222,0.1375
TX,z1223,0.1375
TX,z1224,0.1375
